osm_link_id,model_link_id,ROUTE_SYS,OSMlanes,mndot,widot,anoka,hennepin,carver,dakota,washington,here,naive,dot,lanes,osm_latest,osm_latest_min,osm_latest_max,osm_latest_mode
130628756,215,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
130628756,216,10,0,0,0,0,0,0,0,0,1,1,0,1,,,,
130628757,217,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
130628756,218,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
18086825,219,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
"2,365,052,821,808,790,000,000,000,000,000,000,000,000,000",220,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
18072500,221,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18072500,222,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
76767468,223,10,0,0,0,0,0,0,0,0,1,1,0,1,,,,
"1,821,490,518,220,560",224,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18086825,225,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
18086825,226,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
18091185,227,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
229019572,228,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
"1,809,118,518,091,910",229,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
229019572,230,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
76767464,231,10,0,0,0,0,0,0,0,0,1,1,0,1,,,,
76767464,232,21,0,0,0,0,0,0,0,0,1,1,0,1,,,,
76767475,233,21,0,0,0,0,0,0,0,0,1,1,0,1,,,,
18089568,234,,0,1,0,0,0,0,0,0,0,1,1,1,,,,
18090596,235,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
229019576,236,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18090596,237,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
229019576,238,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18076746,239,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
18076746,240,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
76767472,241,21,0,0,0,0,0,0,0,0,1,1,0,1,,,,
76767472,242,21,0,0,0,0,0,0,0,0,1,1,0,1,,,,
204817315,243,,1,1,0,0,0,0,0,0,1,1,1,1,2,2,2,2
5997921,244,,1,1,0,0,0,0,0,0,1,1,1,1,2,2,2,2
6035985,245,,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
35081970,246,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
229019576,247,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
229019575,248,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
"23,666,850,018,088,500",249,,0,1,0,0,0,0,0,0,0,1,1,1,,,,
229019574,250,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
76767470,251,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
6028069,252,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
6035564,253,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
6035564,254,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
5997921,255,,1,0,0,0,0,0,0,0,0,1,0,1,2,2,2,2
169342906,256,,0,0,0,0,0,0,0,0,1,1,0,1,,,,
169342906,257,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
169344815,258,,0,1,0,0,0,0,0,0,1,1,1,1,,,,
169342906,259,,0,0,0,0,0,0,0,0,0,1,0,1,,,,
18066033,260,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
335519814,261,5,0,1,0,0,0,0,0,0,1,1,1,1,,,,
335519814,262,10,0,1,0,0,0,0,0,0,1,1,1,1,,,,
